"id","occurrenceID","catalogNumber","basisOfRecord","collectionCode","scientificName","taxonRank","kingdom","family","higherClassification","vernacularName","previousIdentifications","individualCount","lifeStage","sex","longitudeDecimal","latitudeDecimal","geodeticDatum","dataGeneralizations","coordinateUncertaintyInMeters","continent","country","countryCode","stateProvince","locality","habitat","recordedBy","eventID","eventDate","eventTime","samplingProtocol","behavior","associatedTaxa","references","rightsHolder","license","modified"
"95558727@OBS","https://observation.org/observation/95558727","OBS.95558727","HumanObservation","Observations","Cosmorhoe ocellata","species","Animalia","Geometridae","Animalia|Geometridae","Purple Bar",NA,1,"imago","undetermined",10.3996253293,47.0743252344,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95558727","Stichting Natuurinformatie","CC BY-NC 4.0",2019-06-22
"95558634@OBS","https://observation.org/observation/95558634","OBS.95558634","HumanObservation","Observations","Plemyria rubiginata","species","Animalia","Geometridae","Animalia|Geometridae","Blue-bordered Carpet",NA,1,"imago","undetermined",10.3996253293,47.0743252344,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95558634","Stichting Natuurinformatie","CC BY-NC 4.0",2019-06-22
"95558628@OBS","https://observation.org/observation/95558628","OBS.95558628","HumanObservation","Observations","Eulithis populata","species","Animalia","Geometridae","Animalia|Geometridae","Northern Spinach",NA,1,"imago","undetermined",10.3996253293,47.0743252344,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95558628","Stichting Natuurinformatie","CC BY-NC 4.0",2019-06-22
"95558555@OBS","https://observation.org/observation/95558555","OBS.95558555","HumanObservation","Observations","Epiblema foenella","species","Animalia","Tortricidae","Animalia|Tortricidae",NA,NA,1,"imago","undetermined",10.3996289335,47.074330686,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95558555","Stichting Natuurinformatie","CC BY-NC 4.0",2020-03-26
"95558538@OBS","https://observation.org/observation/95558538","OBS.95558538","HumanObservation","Observations","Pyrausta purpuralis","species","Animalia","Crambidae","Animalia|Crambidae",NA,NA,1,"imago","undetermined",10.3996289335,47.074330686,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95558538","Stichting Natuurinformatie","CC BY-NC 4.0",2019-12-29
"95558425@OBS","https://observation.org/observation/95558425","OBS.95558425","HumanObservation","Observations","Gnophos obfuscata","species","Animalia","Geometridae","Animalia|Geometridae","Scotch Annulet",NA,1,"imago","undetermined",10.39962893,47.07433069,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95558425","Stichting Natuurinformatie","CC BY-NC 4.0",2019-06-22
"95558405@OBS","https://observation.org/observation/95558405","OBS.95558405","HumanObservation","Observations","Ceramica pisi","species","Animalia","Noctuidae","Animalia|Noctuidae","Broom Moth",NA,2,"imago","undetermined",10.3996289335,47.074330686,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95558405","Stichting Natuurinformatie","CC BY-NC 4.0",2018-11-29
"95558369@OBS","https://observation.org/observation/95558369","OBS.95558369","HumanObservation","Observations","Eugnorisma depuncta","species","Animalia","Noctuidae","Animalia|Noctuidae","Plain Clay",NA,1,"imago","undetermined",10.3996289335,47.074330686,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95558369","Stichting Natuurinformatie","CC BY-NC 4.0",2020-01-01
"95558315@OBS","https://observation.org/observation/95558315","OBS.95558315","HumanObservation","Observations","Scopula immorata","species","Animalia","Geometridae","Animalia|Geometridae","Lewes Wave",NA,1,"imago","undetermined",10.3996289335,47.074330686,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-18,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95558315","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-25
"95447661@OBS","https://observation.org/observation/95447661","OBS.95447661","HumanObservation","Observations","Laothoe populi","species","Animalia","Sphingidae","Animalia|Sphingidae","Poplar Hawk-moth",NA,1,"caterpillar","undetermined",10.4983628914,47.127169562,"WGS84",NA,10,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-29,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95447661","Stichting Natuurinformatie","CC BY-NC 4.0",2020-04-24
